instance,set,rule,relax,status,solved,nodes,time,uplo,loup,timeout
avgasa.bch,coconutbenchmark-library2,lsmear,both,complete,1,262,0.7670940000000003,-4.414844186645964,-4.410429342459319,600.0
avgasa.bch,coconutbenchmark-library2,lsmear-box,both,complete,1,262,0.7637010000000003,-4.414844186645964,-4.410429342459319,600.0
avgasa.bch,coconutbenchmark-library2,roundrobin,both,complete,1,402,1.1971460000000005,-4.4149593972489924,-4.410544437851744,600.0
avgasa.bch,coconutbenchmark-library2,smearmax,both,complete,1,328,1.0076400000000003,-4.414427202808254,-4.410012775605447,600.0
avgasa.bch,coconutbenchmark-library2,smearmaxrel,both,timeout,0,302820,600.0010480000001,-4.461714161396478,-4.410821396395684,600.0
avgasa.bch,coconutbenchmark-library2,smearsum,both,complete,1,306,0.9685940000000003,-4.414782344194861,-4.410367561850667,600.0
avgasa.bch,coconutbenchmark-library2,smearsumrel,both,complete,1,392,1.0855520000000005,-4.415161338134584,-4.41074617679645,600.0
avgasa.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,0,513882,600.0002990000002,-8.81719681498258,-4.407849243578943,600.0
avgasa.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,1,1010,2.1357640000000004,-4.415559248326793,-4.411143689078467,10
avgasa.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,1,1010,2.1297140000000008,-4.415559248326793,-4.411143689078467,10
avgasa.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,1,1446,3.252973000000001,-4.415863649844644,-4.4114477861948,10
avgasa.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,1,1054,2.5059770000000006,-4.415827956609951,-4.4114121286533425,10
avgasa.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,timeout,0,348108,600.0018280000003,-4.580937773442715,-4.410033796347838,600.0
avgasa.bch,coconutbenchmark-library2,smearsum,xtaylor,complete,1,866,2.2667080000000004,-4.415662700861801,-4.41124703816094,10
avgasa.bch,coconutbenchmark-library2,smearsumrel,xtaylor,complete,1,1226,2.821198000000001,-4.41595131346111,-4.41153536214765,10
avgasb.bch,coconutbenchmark-library2,largestfirst,both,timeout,0,403660,600.0024650000003,-5.625198185123666,-4.480209042403721,600.0
avgasb.bch,coconutbenchmark-library2,lsmear,both,complete,1,84,0.3217780000000001,-4.484760660529889,-4.48027589986936,600.0
avgasb.bch,coconutbenchmark-library2,lsmear-box,both,complete,1,84,0.31784600000000013,-4.484760660529889,-4.48027589986936,600.0
avgasb.bch,coconutbenchmark-library2,roundrobin,both,complete,1,78,0.28165500000000004,-4.483713143964872,-4.479229430820908,600.0
avgasb.bch,coconutbenchmark-library2,smearmax,both,complete,1,44,0.20672600000000008,-4.485407827911427,-4.480922420083516,600.0
avgasb.bch,coconutbenchmark-library2,smearmaxrel,both,complete,1,124,0.4530210000000001,-4.486904738925862,-4.482417834186937,600.0
avgasb.bch,coconutbenchmark-library2,smearsum,both,complete,1,72,0.27628700000000006,-4.4866568656054735,-4.482170208739869,600.0
avgasb.bch,coconutbenchmark-library2,smearsumrel,both,complete,1,78,0.3216540000000001,-4.484340982381673,-4.479856641399293,600.0
avgasb.bch,coconutbenchmark-library2,largestfirst,xtaylor,timeout,0,414632,600.0019210000003,-7.891668655212348,-4.482462661701049,600.0
avgasb.bch,coconutbenchmark-library2,lsmear,xtaylor,complete,1,352,0.8401140000000002,-4.486542499649502,-4.4820559571498535,10
avgasb.bch,coconutbenchmark-library2,lsmear-box,xtaylor,complete,1,352,0.8492310000000003,-4.486542499649502,-4.4820559571498535,10
avgasb.bch,coconutbenchmark-library2,roundrobin,xtaylor,complete,1,334,0.9251580000000001,-4.487204674332094,-4.482717469657763,10
avgasb.bch,coconutbenchmark-library2,smearmax,xtaylor,complete,1,240,0.7247960000000002,-4.485738273446284,-4.481252535172838,10
avgasb.bch,coconutbenchmark-library2,smearmaxrel,xtaylor,complete,1,268,0.8360150000000001,-4.486944244208965,-4.482457299964757,10
